source,city_label,facility,match_date,kickoff_local,duration_minutes,format,bookable_spots,price,listing_title,note
plei,Houston,HTX Fieldhouse,2026-09-21,22:00,60,6v6,12,12.50,East End indoor,Intermediate
plei,Houston,Memorial Indoor Soccer,2026-09-21,20:00,180,5v5,35,11.25,Open play Memorial indoor,High-level
plei,Houston,Houston Select FC,2026-09-21,21:00,60,5v5,10,12.50,10% OFF Memorial outdoor,Intermediate
plei,Houston,Pac Global Academy | West Houston,2026-09-21,21:00,60,8v8,16,11.50,Happy hour West Houston outdoor,Intermediate
plei,Houston,GoPro Arena,2026-09-21,19:00,60,6v6,12,8.50,20% OFF West Houston indoor,Intermediate
plei,Houston,GoPro Arena,2026-09-21,20:00,60,6v6,12,10.50,West Houston indoor,Intermediate
plei,Houston,GoPro Arena,2026-09-21,21:00,60,6v6,12,10.50,West Houston indoor,Intermediate
plei,Houston,Toros Lifestyle Soccer Art District,2026-09-21,23:00,60,6v6,12,14.50,Downtown outdoor,High-level
plei,Houston,Toros Lifestyle Soccer Art District,2026-09-21,20:00,60,5v5,10,13.50,Downtown outdoor Small Field,Intermediate
plei,Houston,Toros Lifestyle Soccer Art District,2026-09-21,21:00,60,5v5,10,13.50,Downtown outdoor Small Field,Intermediate
plei,Houston,Houston Soccer Field,2026-09-21,22:00,60,8v8,16,13.50,Cypress outdoor,Intermediate
plei,Houston,Houston Soccer Field,2026-09-21,20:00,60,6v6,12,13.00,Cypress outdoor,Intermediate
plei,Houston,Turf On Soccer Fields,2026-09-21,19:00,60,7v7,14,9.50,40% OFF North Houston outdoor,Intermediate
plei,Houston,Turf On Soccer Fields,2026-09-21,20:00,60,7v7,14,9.50,40% OFF North Houston outdoor,Intermediate
plei,Houston,Turf On Soccer Fields,2026-09-21,21:00,60,7v7,14,9.50,40% OFF North Houston outdoor,High-level
plei,Houston,Pegaso HTX,2026-09-21,22:00,60,6v6,12,12.50,Downtown outdoor,High-level
plei,Houston,Pegaso HTX,2026-09-21,23:00,60,6v6,12,12.50,Downtown outdoor,High-level
plei,Houston,Pegaso HTX,2026-09-21,17:00,60,6v6,12,11.50,Happy hour Downtown outdoor,Intermediate
plei,Houston,Pegaso HTX,2026-09-21,18:00,60,6v6,12,12.50,Downtown outdoor,High-level
