market,field_label,month,amount_usd
Atlanta,Hammond Park,2026-01,
Atlanta,Hammond Park,2026-02,
Atlanta,Hammond Park,2026-03,1625.00
Atlanta,Hammond Park,2026-04,
Atlanta,Hammond Park,2026-05,
Atlanta,Hammond Park,2026-06,
Atlanta,Hammond Park,2026-07,
Atlanta,Hammond Park,2026-08,
Atlanta,Hammond Park,2026-09,
Atlanta,PRUMC,2026-01,
Atlanta,PRUMC,2026-02,
Atlanta,PRUMC,2026-03,
Atlanta,PRUMC,2026-04,
Atlanta,PRUMC,2026-05,1411.00
Atlanta,PRUMC,2026-06,
Atlanta,PRUMC,2026-07,
Atlanta,PRUMC,2026-08,
Atlanta,PRUMC,2026-09,
Austin,NEMP,2026-01,5464.00
Austin,NEMP,2026-02,8748.00
Austin,NEMP,2026-03,1200.00
Austin,NEMP,2026-04,1650.00
Austin,NEMP,2026-05,
Austin,NEMP,2026-06,10996.00
Austin,NEMP,2026-07,
Austin,NEMP,2026-08,6304.00
Austin,NEMP,2026-09,
Austin,RRMPC,2026-01,
Austin,RRMPC,2026-02,2464.00
Austin,RRMPC,2026-03,847.00
Austin,RRMPC,2026-04,104.00
Austin,RRMPC,2026-05,150.00
Austin,RRMPC,2026-06,
Austin,RRMPC,2026-07,1531.00
Austin,RRMPC,2026-08,360.00
Austin,RRMPC,2026-09,
Austin,Hattrick Leander,2026-01,
Austin,Hattrick Leander,2026-02,
Austin,Hattrick Leander,2026-03,
Austin,Hattrick Leander,2026-04,
Austin,Hattrick Leander,2026-05,955.00
Austin,Hattrick Leander,2026-06,1075.00
Austin,Hattrick Leander,2026-07,1088.00
Austin,Hattrick Leander,2026-08,
Austin,Hattrick Leander,2026-09,
Austin,Stony Point,2026-01,
Austin,Stony Point,2026-02,450.00
Austin,Stony Point,2026-03,150.00
Austin,Stony Point,2026-04,600.00
Austin,Stony Point,2026-05,150.00
Austin,Stony Point,2026-06,
Austin,Stony Point,2026-07,
Austin,Stony Point,2026-08,
Austin,Stony Point,2026-09,
Austin,Ann Richards,2026-01,
Austin,Ann Richards,2026-02,
Austin,Ann Richards,2026-03,
Austin,Ann Richards,2026-04,
Austin,Ann Richards,2026-05,
Austin,Ann Richards,2026-06,99.00
Austin,Ann Richards,2026-07,645.00
Austin,Ann Richards,2026-08,
Austin,Ann Richards,2026-09,
Dallas,Bicentennial,2026-01,4135.00
