city,month,days_elapsed,days_in_month,membership_revenue,total_revenue,member_spots,daily_spots,promo_spots,other_spots,member_matches,active_members,distinct_players,members_churned
Atlanta,2023-04,30,30,0.00,0.00,0,0,0,0,0,,0,
Atlanta,2023-05,31,31,0.00,0.00,0,0,0,0,0,,0,
Atlanta,2023-06,30,30,0.00,0.00,0,0,0,0,0,,0,
Atlanta,2023-07,31,31,0.00,0.00,0,0,0,0,0,,0,
Atlanta,2023-08,31,31,0.00,0.00,0,0,0,0,0,,0,
Atlanta,2023-09,30,30,0.00,0.00,0,0,0,0,0,,0,
Atlanta,2023-10,31,31,0.00,0.00,0,0,0,0,0,,0,
Atlanta,2023-11,30,30,0.00,0.00,0,0,0,0,0,,0,
Atlanta,2023-12,31,31,0.00,0.00,0,0,0,0,0,,0,
Atlanta,2024-01,31,31,0.00,0.00,0,0,0,0,0,,0,
Atlanta,2024-02,29,29,0.00,0.00,0,0,0,0,0,0,0,
Atlanta,2024-03,31,31,0.00,0.00,0,0,0,0,0,0,0,
Atlanta,2024-04,30,30,0.00,0.00,0,0,0,0,0,0,0,
Atlanta,2024-05,31,31,0.00,0.00,0,0,0,0,0,0,0,
Atlanta,2024-06,30,30,0.00,0.00,0,0,0,0,0,0,0,
Atlanta,2024-07,31,31,0.00,0.00,0,0,0,0,0,0,0,
Atlanta,2024-08,31,31,0.00,0.00,0,0,0,0,0,0,0,
Atlanta,2024-09,30,30,0.00,0.00,0,0,0,0,0,0,0,
Atlanta,2024-10,31,31,0.00,0.00,0,0,0,0,0,0,0,
Atlanta,2024-11,30,30,0.00,0.00,0,0,0,0,0,0,0,
Atlanta,2024-12,31,31,0.00,0.00,0,0,0,0,0,0,0,
Atlanta,2025-01,31,31,0.00,0.00,0,0,0,0,0,0,0,
Atlanta,2025-02,28,28,0.00,0.00,0,0,0,0,0,0,0,
Atlanta,2025-03,31,31,0.00,0.00,0,0,0,0,0,0,0,
Atlanta,2025-04,30,30,0.00,0.00,0,0,0,0,0,0,0,
Atlanta,2025-05,31,31,0.00,0.00,0,0,0,0,0,0,0,
Atlanta,2025-06,30,30,0.00,0.00,0,0,0,0,0,0,0,
Atlanta,2025-07,31,31,0.00,0.00,0,0,0,0,0,0,0,
Atlanta,2025-08,31,31,0.00,0.00,0,0,0,0,0,0,0,
Atlanta,2025-09,30,30,3.27,63.21,6,7,14,1,5,2,21,
Atlanta,2025-10,31,31,5.45,106.25,9,19,19,0,8,3,31,
Atlanta,2025-11,30,30,9.81,113.36,6,84,3,2,6,5,61,
Atlanta,2025-12,31,31,15.26,251.20,12,67,18,4,12,8,61,
Atlanta,2026-01,31,31,29.43,460.14,71,109,21,0,67,17,87,
Atlanta,2026-02,28,28,32.70,877.00,98,136,11,0,94,19,86,
Atlanta,2026-03,31,31,125.26,837.89,68,101,9,5,66,20,69,
Atlanta,2026-04,30,30,148.13,1134.66,118,144,10,5,113,6,87,
Atlanta,2026-05,31,31,409.76,1211.10,87,87,8,9,86,15,68,
Atlanta,2026-06,30,30,589.15,1305.20,72,96,9,19,72,20,75,
Atlanta,2026-07,31,31,428.17,2202.87,107,148,22,20,106,28,114,
Atlanta,2026-08,31,31,774.05,2195.93,122,114,21,48,122,39,98,
Atlanta,2026-09,17,30,818.93,1987.58,85,103,53,9,83,27,107,
Austin,2023-04,30,30,0.00,0.00,0,0,0,80,0,,51,
Austin,2023-05,31,31,0.00,1765.00,0,166,0,241,0,,159,
Austin,2023-06,30,30,0.00,2228.00,0,252,151,0,0,,118,
Austin,2023-07,31,31,0.00,3927.50,0,415,213,52,0,,203,
Austin,2023-08,31,31,0.00,5131.00,0,577,304,0,0,,290,
Austin,2023-09,30,30,0.00,4203.00,0,410,297,30,0,,257,
Austin,2023-10,31,31,0.00,5852.00,0,627,350,0,0,,306,
Austin,2023-11,30,30,0.00,7388.00,0,808,480,0,0,,428,
Austin,2023-12,31,31,0.00,9407.00,0,1088,762,1,0,,467,
Austin,2024-01,31,31,0.00,10267.50,0,1058,899,0,0,,484,
Austin,2024-02,29,29,0.00,9697.50,2,1063,1026,3,2,8,490,
Austin,2024-03,31,31,2302.00,10846.00,846,845,293,232,810,86,555,
Austin,2024-04,30,30,5693.96,14771.52,1239,880,173,382,1200,121,628,
Austin,2024-05,31,31,6524.42,15966.95,1112,864,184,616,1071,133,718,
Austin,2024-06,30,30,7243.71,16577.87,957,802,103,515,919,125,730,
Austin,2024-07,31,31,7460.47,18624.68,1103,935,128,414,1054,119,785,
Austin,2024-08,31,31,8070.30,18584.92,1124,884,40,523,1089,123,825,
Austin,2024-09,30,30,7611.36,17932.21,1375,904,70,608,1330,118,789,
