month,days_elapsed,days_in_month,membership_revenue,total_revenue,member_spots,daily_spots,promo_spots,other_spots,member_matches,active_members,distinct_players,members_churned
2023-04,30,30,0.00,0.00,0,0,0,371,0,,154,
2023-05,31,31,0.00,1765.00,0,166,0,278,0,,169,
2023-06,30,30,0.00,2228.00,0,252,151,0,0,,118,
2023-07,31,31,0.00,3927.50,0,415,213,52,0,,203,
2023-08,31,31,0.00,5131.00,0,577,304,0,0,,290,
2023-09,30,30,0.00,4203.00,0,410,297,30,0,,257,
2023-10,31,31,0.00,5852.00,0,627,350,0,0,,306,
2023-11,30,30,0.00,7388.00,0,808,480,0,0,,428,
2023-12,31,31,0.00,9407.00,0,1088,762,1,0,,467,
2024-01,31,31,0.00,10267.50,0,1058,899,0,0,,484,
2024-02,29,29,0.00,9697.50,2,1063,1026,3,2,8,490,
2024-03,31,31,2304.00,10848.00,918,883,330,247,880,86,573,
2024-04,30,30,5802.32,14879.88,1372,912,243,396,1328,121,658,
2024-05,31,31,6841.02,16283.55,1270,933,243,673,1225,133,779,
2024-06,30,30,7649.13,16983.29,1211,997,167,738,1161,126,908,
2024-07,31,31,7934.26,19147.62,1474,1308,177,855,1408,120,1064,
2024-08,31,31,8495.27,20238.79,1462,1511,111,1221,1416,125,1214,
2024-09,30,30,8010.09,19477.33,1606,1299,143,850,1547,123,1052,
2024-10,31,31,7957.84,21181.30,1363,1458,151,803,1327,116,1046,
2024-11,30,30,8035.83,21790.86,1304,1379,97,986,1231,128,1131,
2024-12,31,31,7899.49,21617.77,1381,1413,109,525,1326,133,875,
2025-01,31,31,8587.22,23333.57,1451,1458,151,652,1385,141,1016,
2025-02,28,28,8468.23,22024.93,1257,1303,68,312,1212,127,884,
2025-03,31,31,8205.86,25853.85,1731,1720,133,356,1669,134,1139,
2025-04,30,30,8986.34,30042.69,2044,2254,105,190,1978,159,1187,
2025-05,31,31,10493.45,31559.21,1900,2228,74,337,1796,171,1280,
2025-06,30,30,11151.42,38772.82,2235,2773,162,240,2151,190,1480,
2025-07,31,31,12230.28,43618.17,2575,3187,178,324,2500,207,1615,
2025-08,31,31,12562.81,40331.19,1771,2760,159,229,1690,207,1373,
2025-09,30,30,11407.82,41176.10,1814,2976,158,243,1744,195,1393,
2025-10,31,31,11077.57,43703.05,2125,3237,167,249,2044,220,1588,
2025-11,30,30,12960.78,43922.39,2236,3072,154,308,2184,252,1609,
2025-12,31,31,13204.08,50020.50,1975,3245,230,455,1919,271,1734,
2026-01,31,31,15409.89,55392.17,2338,3599,307,425,2268,277,1872,
2026-02,28,28,14934.76,63175.52,2118,4135,234,420,2076,264,1834,
2026-03,31,31,16070.36,63196.48,2166,4378,253,213,2096,263,1960,
2026-04,30,30,14991.78,65258.26,2485,5020,379,240,2398,251,2314,
2026-05,31,31,16169.77,71008.76,2257,5081,264,262,2161,249,2231,
2026-06,30,30,17418.47,74011.18,2586,5151,339,249,2499,392,2385,56
2026-07,31,31,17856.94,97023.58,2767,6998,431,251,2662,412,3014,69
2026-08,31,31,18930.43,91818.65,2365,6216,431,373,2288,406,2902,81
2026-09,17,30,17647.57,56579.99,1140,3394,418,240,1101,313,1981,87
